"nome_arquivo","latitude","longitude"
"5PR0357",-26.1833,-53.3833
"5SC0358",-26.18,-48.9394
"5PR0359",-26.1667,-51.2167
"5PR0360",-26.1547,-49.3806
"5PR0361",-26.1525,-53.0183
"5PR0362",-26.15,-51.2333
"5PR0363",-26.15,-51.4
"5PR0364",-26.1272,-52.1839
"5PR0365",-26.1167,-53.65
"5PR0366",-26.1167,-52.6833
"5PR0367",-26.1167,-52.4333
"5PR0368",-26.1167,-51.5667
"5PR0369",-26.1122,-53.4633
"5PR0370",-26.1,-49.8
"5PR0371",-26.1,-49.8
"5PR0372",-26.0833,-53.2
"5PR0373",-26.0833,-52.5167
"5SC0374",-26.0833,-50.3167
"5PR0375",-26.0717,-52.0925
"5PR0376",-26.0667,-53.73
"5PR0377",-26.0667,-51.9136
"5PR0378",-26.0644,-53.3622
"5PR0379",-26.0506,-52.8008
"5PR0380",-26.05,-51.2
"5SC0381",-26.0356,-48.85
"5PR0382",-26.0306,-51.1419
,-26.0294,-52.6283
"5PR0384",-26.0192,-50.5925
"5PR0385",-25.9833,-52.5667
"5PR0386",-25.9833,-49.6833
"5SC0387",-25.9833,-48.8833
"5PR0388",-25.9522,-50.6792
"5PR0389",-25.95,-53.6167
"5PR0390",-25.95,-53.8333
"5PR0391",-25.95,-50.5667
"5PR0392",-25.95,-49.3931
"5PR0393",-25.9439,-51.2622
"5PR0394",-25.9406,-52.825
"5PR0395",-25.9339,-52.7111
"5PR0396",-25.9333,-49.7833
"5PR0397",-25.9331,-53.1697
"5PR0398",-25.9167,-53.4833
"5PR0399",-25.9031,-51.1044
"5PR0400",-25.8875,-53.0825
"5PR0401",-25.8833,-48.5833
"5PR0402",-25.8756,-50.3894
"5PR0403",-25.855,-49.5258
"5PR0404",-25.85,-52.5167
"5PR0405",-25.85,-52.7333
"5PR0406",-25.85,-51.7667
"5PR0407",-25.8333,-53.75
"5PR0408",-25.8167,-52.4167
"5PR0409",-25.8167,-51.1
"5PR0410",-25.8167,-48.8
"5PR0411",-25.8128,-48.9236
"5PR0412",-25.8075,-51.2886
"5PR0413",-25.8,-52.0167
"5PR0414",-25.8,-51.85
"5PR0415",-25.8,-49.8828
"5PR0416",-25.7833,-49.7667
"5PR0417",-25.7833,-49.15
"5PR0418",-25.7767,-53.3108
,-25.7764,-49.3244
"5PR0420",-25.7739,-52.9328
"5PR0421",-25.7697,-53.6644
,-25.7331,-51.5167
"5PR0423",-25.7275,-52.5028
"5PR0424",-25.7167,-52.9167
"5PR0425",-25.7167,-52.3833
"5PR0426",-25.7167,-49.4333
"5PR0427",-25.7,-53.7667
"5PR0428",-25.7,-50.5167
"5PR0429",-25.6978,-52.1967
"5PR0430",-25.6972,-50.0131
"5PR0431",-25.6942,-51.2025
"5PR0432",-25.6831,-54.4331
"5PR0433",-25.6831,-53.4667
"5PR0434",-25.6822,-53.0167
"5PR0435",-25.6667,-53.6833
"5PR0436",-25.65,-51.6667
"5PR0437",-25.6297,-51.0878
,-25.6278,-54.4806
"5PR0439",-25.6219,-50.2003
"5PR0440",-25.6167,-50.7
,-25.5992,-49.51
"5PR0442",-25.5967,-48.6247
"5PR0443",-25.5831,-53.8667
"5PR0444",-25.5831,-53.9831
"5PR0445",-25.5783,-49.4278
"5PR0446",-25.5667,-53.9331
"5PR0447",-25.5667,-53.1333
"5PR0448",-25.5667,-51.25
"5PR0449",-25.5667,-51.0667
,-25.5511,-52.1069
"5PR0451",-25.55,-51.55
"5PR0452",-25.55,-49.8833
"5PR0453",-25.5419,-53.5067
"5PR0454",-25.5378,-49.3892
"5PR0455",-25.5333,-51.8167
"5PR0456",-25.5325,-51.4414
"5PR0457",-25.5192,-49.1467
"5PR0458",-25.5167,-52.4
"5PR0459",-25.4953,-50.0764
"5PR0460",-25.4925,-48.9939
"5PR0461",-25.4897,-52.5322
"5PR0462",-25.4833,-53.6167
"5PR0463",-25.4831,-52.2167
"5PR0464",-25.475,-50.2981
"5PR0465",-25.4667,-50.9833
"5PR0466",-25.4667,-50.7833
"5PR0467",-25.4667,-49.5667
"5PR0468",-25.4667,-48.8333
,-25.45,-54.3167
"5PR0470",-25.45,-51.45
"5PR0471",-25.45,-50.5833
"5PR0472",-25.45,-49.25
"5PR0473",-25.45,-49.0667
"5PR0474",-25.4494,-49.3564
"5PR0475",-25.4483,-52.9044
